Name,Label
Tegwolo,1
Dramatis personae,1
Author surrogate,1
Comic relief,1
Composite character,1
Confidant,1
Double act,1
Foil,1
Fool's literature,1
Gag character,1
Guest character,1
Recurring character,1
Regular character,1
Supporting character,1
Sympathetic character,1
Unseen character,1
Anri,1
Carrie Mark,1
Columbia,1
Holly Hobbie,1
Lina Leskowitz,1
Robin Sage,1
Saint Javelin,1
Terri Joe,1
Wifejak,1
Bumblebee,1
Cliffjumper,1
Grimlock,1
Jazz,1
Megatron,1
Optimus Prime,1
Sideswipe,1
Soundwave,1
Spiders Georg,1
Starscream,1
The Addams Family Theme,1
The Berenstain Bears,1
Cartoons,1
Ett gammalt fult och elakt troll det var en gång,1
The Family Madrigal,1
Funky Worm,1
Go Go Power Rangers,1
The Goonies 'R' Good Enough,1
Heffalumps and Woozles,1
Herr Mannelig,1
"Hey, E.T.",1
The King Is Gone,1
Lambton Worm,1
The Laughing Gnome,1
Meet the Flintstones,1
The Mock Turtle's Song,1
Mrs. Potato Head,1
Pac-Man,1
Pokémon 2.B.A. Master,1
Pokémon Theme,1
"Puff, the Magic Dragon",1
The Raven,1
The Smurfs music,1
Squidward Nose,1
Stressed Out,1
"Teletubbies say ""Eh-oh!""",1
Thumbelina,1
The Unicorn,1
Wuthering Heights,1
Ace the Dog,1
"Alina, a Girl with a Jug",1
Bagheera Fountain,1
Beetle Monuments,1
Behold,1
Big Tex,1
Bolek and Lolek Monument,1
Bremen Town Musicians,1
Bronze Fonz,1
Bullwinkle statue,1
Burnett Memorial Fountain,1
Columbo statue,1
David of Sassoun,1
Dickens and Little Nell,1
Dr. Seuss Memorial,1
Don Quixote,1
Eleanor Rigby,1
Evil Clown of Middletown,1
Grigory and Aksinya,1
Grigory and Aksinya in a boat,1
Gromit Unleashed,1
Gromit Unleashed 2,1
Hiawatha and Minnehaha,1
Indiana Garfield statues,1
Jeanneke Pis,1
Jolly Green Giant statue,1
Statue of Juliet,1
Johnny Kaw,1
King Kong statue,1
King Matt the First Monument,1
La Spigolatrice,1
Make Way for Ducklings statue,1
Manneken Pis,1
Marieke,1
Statue of McDull,1
Mephistopheles and Margaretta,1
Artyomka Monument,1
Statue of Paddington Bear,1
Partners,1
Paul Bunyan and Babe the Blue Ox,1
Peter Pan statue,1
Reksio Monument,1
Statue of Rip Van Winkle,1
RoboCop statue,1
Rocky statue,1
Statue of Rocky Balboa,1
Romeo and Juliet,1
Santa Claus,1
Scenes in the Square,1
Shaun in the City,1
Spirit of Ecstasy,1
Statue of Paul Bunyan,1
Statue of René Goscinny,1
"Statue of Sherlock Holmes, London",1
Statue of Unicorn Gundam,1
Statues of Paul Bunyan,1
Storytellers,1
Tell Monument,1
The Tempest,1
Tex Randall,1
Transformers,1
Uncle Beazley,1
Wawel Dragon and Bartolini Bartholomew Monument,1
Yoda Fountain,1
Agent,1
Alternative versions of Captain America,1
Alternative versions of Doctor Fate,1
Alternative versions of Spider-Man,1
Alternative versions of Thor,1
Amazing-Man,1
Angantyr,1
Ant-Man,1
Aquagirl,1
Arcee,1
Arrowette,1
Atlas,1
Atom,1
Atomic Skull,1
Azrael,1
Aztek,1
Baldrick,1
Batgirl,1
Batwing,1
Batwoman,1
Big Man,1
Black Condor,1
Black Orchid,1
Black Spider,1
Black Widow,1
Edmund Blackadder,1
Lady Blackhawk,1
Blackwing,1
Blindspot,1
Blizzard,1
Blockbuster,1
Bloodsport,1
Captain Marvel,1
Carnage,1
Cheetah,1
Chronos,1
Clayface,1
Collective Man,1
Quentin Collins,1
Commander Steel,1
Copperhead,1
Crimson Avenger,1
Crimson Dynamo,1
Crimson Fox,1
Crusher,1
Cyclone,1
Decay,1
El Diablo,1
Doctor Alchemy,1
Doctor Fate,1
Dusk,1
Firebrand,1
Firestorm,1
Rick Flag,1
Flamebird,1
Foolkiller,1
Fury,1
Ghost Rider,1
Giant-Man,1
Godiva,1
Gog,1
Golem,1
Goliath,1
Gostaham,1
Green Goblin,1
Green Lantern,1
Grizzly,1
Harlequin,1
Hate-Monger,1
Hawkeye,1
Hawkman,1
Heap,1
Hobgoblin,1
Hornet,1
Hourman,1
Howling Commandos,1
Human Fly,1
Huntress,1
Icicle,1
Jack O'Lantern,1
Jester,1
Jetfire,1
Jude and Zero,1
K9,1
Kangaroo,1
Kick-Ass,1
Killer Frost,1
Kingmaker,1
"Knights Who Say ""Ni!""",1
Kung,1
Laurel Lance,1
Liberty Belle,1
Magdalena,1
Mala,1
Mirage,1
Mist,1
Mister Fear,1
Mister Terrific,1
Ms. Marvel,1
Murmur,1
Mysterio,1
Nemesis,1
Olympian,1
Parasite,1
Patriot,1
Persuader,1
Phantom Rider,1
Piggy,1
Doctor Poison,1
Proty,1
Puck,1
Quasar,1
Queen Bee,1
Red Tornado,1
Ricochet,1
Dread Pirate Roberts,1
Robin,1
Rocket Red,1
Ronin,1
Rose,1
Rose and Thorn,1
Jason Rusch,1
Oliver Sabel and Christian Mann,1
Scarlet Spider,1
Scorpio,1
Scream,1
Shaggy Man,1
Silk Spectre,1
Silver Samurai,1
Silver Swan,1
Siren,1
Smasher,1
Son of Vulcan,1
Doctor Spectrum,1
Spider-Girl,1
Spider-Woman,1
Star Sapphire,1
Starman,1
Martin Stein,1
Super-Adaptoid,1
Super-Chief,1
Superboy,1
Supergirl,1
Superwoman,1
Tarantula,1
Terminator,1
Terra,1
Eve Teschmacher,1
Tezcatlipoca,1
Toxin,1
Toyman,1
Trident,1
Ultra-Man,1
Venom,1
Ventriloquist,1
Venus,1
Vision,1
Harrison Wells,1
Werewolf by Night,1
Whip,1
White Tiger,1
Whizzer,1
Wonder Girl,1
Yellowjacket,1
Baron Zemo,1
Fictional Old Etonians,1
Forbes Fictional 15,1
next page,1
Abdurrahman Alp,1
Mikasa Ackerman,1
Rachel Amber,1
Anya,1
Artuk Bey,1
Auld Jock,1
Beth Bailey,1
Rocky Balboa,1
Avon Barksdale,1
Norman Bates,1
Tim Bayliss,1
Belacqua,1
Stringer Bell,1
Shirley Bellinger,1
Elaine Benes,1
Joe Biden,1
Birch Barlow,1
Stanley Bolander,1
Charles Bovary,1
Sally Bowles,1
Kyle Broflovski,1
Bubbles,1
Daisy Buchanan,1
Buffalo Bill,1
Mr. Burns,1
Canute,1
Henry Wilfrid Carr,1
Mick Carter,1
Stan Carter,1
Eric Cartman,1
Celedón,1
Piper Chapman,1
Charlie Chan,1
Charlie the Tuna,1
Le Chiffre,1
Jackie Chiles,1
Chang Chong-Chen,1
Chuck Billy,1
Stephen Colbert,1
George Costanza,1
Jack Crawford,1
Steve Crosetti,1
Charles de Batz de Castelmore d'Artagnan,1
The Daltons,1
Larry David,1
Clay Davis,1
Llewyn Davis,1
Serena Dawes,1
Osamu Dazai,1
Phyllis Dietrichson,1
Dirty Harry,1
Lindiwe Dikana,1
Tiffany Doggett,1
Francis Dolarhyde,1
Donalbain,1
Milla Donovan,1
Mickey Doyle,1
Count Dracula,1
Don Draper,1
Mr. Dryden,1
King Duncan,1
Elvis Gratton,1
Ertuğrul Bey,1
Burt Fabelman,1
Mitzi Fabelman,1
Reggie Fabelman,1
Sammy Fabelman,1
Don Fanucci,1
Faust,1
Basil Fawlty,1
Beau Felton,1
Frankie Fryer,1
Jay Gatsby,1
Al Giardello,1
Ari Gold,1
Auric Goldfinger,1
Emmanuel Goldstein,1
Alan Grant,1
Moe Greene,1
Grunkle Stan,1
Logan Hall,1
Lewis Hamilton,1
Hanson Brothers,1
Halime Hatun,1
Hayme Hatun,1
Malhun Hatun,1
Nora Helmer,1
Himura Kenshin,1
Kay Howard,1
Vienna Hyatt,1
İbn-i Arabi,1
Yuko Ichihara,1
Imhotep,1
Lina Inverse,1
Jack D. Ripper,1
Spider Jerusalem,1
Jimmy Five,1
John Traill,1
Jones,1
Indiana Jones,1
Samantha Jones,1
Charles Foster Kane,1
Yasunori Katō,1
Velma Kelly,1
Hassling-Ketling of Elgin,1
Kunta Kinte,1
Andrzej Kmicic,1
Cosmo Kramer,1
Kurama,1
Leatherface,1
Hannibal Lecter,1
Meldrick Lewis,1
Buzz Lightyear,1
The Little Smuggler,1
Omar Little,1
Bennie Loewy,1
Martha Logan,1
Love Händel,1
Lucien,1
Lex Luthor,1
Macbeth,1
Lady Macbeth,1
Macduff,1
Regan MacNeil,1
Maggy,1
Malcolm,1
P.P. Malcolm,1
Stan Marsh,1
Mathayus,1
Bernie McCullough,1
Jennifer Melfi,1
Millennium Earl,1
Minerva,1
Monica,1
Bunk Moreland,1
John Munch,1
Baron Munchausen,1
Musashi Miyamoto,1
Bishop Myriel,1
Atsushi Nakajima,1
Napoleon,1
Valentin Narcisse,1
Nero,1
"Nivis, amigos de otro mundo",1
Walter O'Brien,1
Edie Ochiltree,1
Tulip Olsen,1
Osman Bey,1
Rani Padmini,1
Annie Palmer,1
Aloysius Parker,1
Frank Pembleton,1
Pestilence,1
Mabel Pines,1
Dipper Pines,1
Pocahontas,1
Boris Podgorny,1
Olivia Pope,1
Popeye,1
Preacher Harry Powell,1
The President,1
Clownvis Presley,1
Miranda Priestly,1
Prince Hal,1
Ragnar Lothbrok,1
Rev,1
Christopher Robin,1
Rolf,1
Hyman Roth,1
Kendall Roy,1
The Rutles,1
Sagara Sanosuke,1
Saitō Hajime,1
The Scorpion King,1
Jerry Seinfeld,1
Seta Sōjirō,1
Sgt. Slaughter,1
Shampoo,1
Shinomori Aoshi,1
Shishio Makoto,1
Gabbar Singh,1
Slimer,1
Smudge,1
Lemony Snicket,1
Snowball,1
Alfie Solomons,1
Soorma Bhopali,1
Livia Soprano,1
Tony Soprano,1
Melinda Sordino,1
Alejandro Sosa,1
McClintic Sphere,1
Roderick Spode,1
Squealer,1
Srikant Tiwari,1
Marlo Stanfield,1
Butters Stotch,1
Jason Street,1
Shuichi Akai,1
Beavis,1
Bourbon,1
Calvin,1
Cameron,1
Edmond Dantès,1
Alison DiLaurentis,1
Count Dooku,1
Asriel Dreemurr,1
Duck Dodgers,1
Andy Dwyer,1
Junko Enoshima,1
Flowey,1
Doug Funnie,1
Ganon,1
Gohan,1
Hajime Hinata,1
Dr. Jekyll and Mr. Hyde,1
Philip Jennings,1
King Mob,1
Nagito Komaeda,1
Korekiyo Shinguji,1
Krrish,1
Jimmy Kudo,1
Kaito Kuroba,1
Launch,1
Helen Lorraine,1
Madeline,1
Man-Bat,1
Michelle and Julia Chang,1
Akemi Miyano,1
Monokuma,1
Fuma Monou,1
Yugi Mutou,1
Nakoruru,1
The Narrator,1
Daisuke Niwa,1
The Nutty Professor,1
Count Olaf,1
Kylo Ren,1
Roger,1
Master Roshi,1
Ryu,1
Niki Sanders,1
Quincy Sharp,1
Benjamin Sisko,1
Anakin Skywalker,1
Miley Stewart,1
Toichi Kuroba,1
Steve Urkel,1
Vermouth,1
Xehanort,1
Yue,1
Princess Zelda,1
Belphoebe,1
Liane Cartman,1
Comet,1
Crona,1
Frieza,1
Griffith,1
Oscar François de Jarjayes,1
Yu Kanda,1
Kino's Journey,1
Kris,1
Kurapika,1
Motoko Kusanagi,1
Leo Kliesen,1
Masque,1
Moira,1
Pat,1
Princess Knight,1
Rosalind,1
Ruby Moon,1
Sailor Uranus,1
Samara,1
Stardust,1
Ziggy Stardust,1
Stevonnie,1
Toad,1
Yubel,1
Cronus Ampora,1
Eridan Ampora,1
Batman,1
Bulma,1
Flintheart Glomgold,1
Iron Man,1
John Hammond,1
Seto Kaiba,1
Ken Masters,1
Scrooge McDuck,1
Red King,1
John D. Rockerduck,1
Tony Stark,1
Susan,1
Trunks,1
Councillor Tuura,1
Enoch Arden,1
Tom Ayrton,1
Charlie Chalk,1
Robinson Crusoe,1
Ferdinand,1
Garth,1
Green Arrow,1
Lemuel Gulliver,1
Ben Gunn,1
Septimus Heap,1
Johnny Castaway,1
Morgyn the Mighty,1
Lucifer Morningstar,1
Prospero,1
Oliver Queen,1
Sebastian,1
Cyrus Smith,1
Jack Sparrow,1
Stephano,1
Viola,1
Mark Watney,1
Babblarna,1
Caillou Anderson,1
Elsa Mars,1
Fiona,1
The Mother,1
Protagonist,1
Artie Abrams,1
Captain Ahab,1
Jason Bard,1
Buster Baxter,1
Big Sir,1
Bleez,1
Calendar Man,1
Captain Marvel Jr.,1
Charon,1
Colonel Blink,1
Coram Boy,1
Martin Crane,1
Cripping-up,1
Cyclops,1
Della Duck,1
Endgame,1
Flowers for Algernon,1
Lydia Fox,1
Frankenstein's monster,1
Zelda Goldman,1
Hector Hammond,1
The Hunchback of Notre-Dame,1
I Won't Dance,1
Iron Bull,1
Robert T. Ironside,1
Becky Jackson,1
Kallu,1
Kitty Ko,1
Thane Krios,1
Mr. Magoo,1
Charles McNider,1
Janet Mitchell,1
Hisao Nakai,1
Nessarose,1
"One-Eye, Two-Eyes, and Three-Eyes",1
Orca,1
Pollyanna,1
Brian Potter,1
Mr. Potter,1
Rainbow Raider,1
The Return of the Soldier,1
Laurence Richards,1
Im Sang-jin,1
Hank Schrader,1
Silhouette,1
Ryan Sinclair,1
Hannah Sparkes,1
Stuck in Neutral,1
Tina and Milo,1
Tiny Tim,1
Torque,1
Miles Vorkosigan,1
Bruce Wayne,1
What Ever Happened to Baby Jane?,1
Walter White Jr.,1
Charles Xavier,1
Superhuman,1
Annabeth Chase,1
Charlie Cale,1
Agatha Heterodyne,1
Slug,1
Baron Klaus Wulfenbach,1
Aladdin,1
Ian Beale,1
Nico Blake,1
The Bowery King,1
Aidan Brosnan,1
Mackenzie Browning,1
Liam Butcher,1
Tiffany Butcher,1
Ben Chang,1
John Connor,1
Cora Cross,1
Whitney Dean,1
Denji,1
Alphonse Elric,1
Edward Elric,1
Sam Evans,1
"Adrian ""Fletch"" Fletcher",1
Foul Ole Ron,1
Ste Hay,1
Dan Hibiki,1
Bianca Jackson,1
Juubei Kakei,1
Jo Wilson,1
Selina Kyle,1
Maurice Lalonde,1
The Legend of Bum-bo,1
Peri Lomax,1
Donna Ludlow,1
Phoebe McQueen,1
Wilhelm Meister,1
Chris Miles,1
Billy Mitchell,1
John Nada,1
Sol Patrick,1
Ben Reilly,1
Mandy Salter,1
